id,phrase,date
1040,быть с тобой,29-08-2023
1042,4 4 4,29-08-2023
1043,6 6 6 6,29-08-2023
1044,6 6 6,29-08-2023
1045,8 8 8 8,29-08-2023
1046,8 8 8,29-08-2023
1047,русский язык класс,29-08-2023
1049,с днем рождения,29-08-2023
1050,2 2 4,29-08-2023
1051,один по английски,29-08-2023
1052,дом в котором,29-08-2023
1053,в нашем доме,29-08-2023
1055,10 10,29-08-2023
1056,английский язык класс,29-08-2023
1057,математика 2 класс 2,29-08-2023
1058,математика 2 класс,29-08-2023
1059,русский 2 класс,29-08-2023
1060,2 класс русский,29-08-2023
1061,русский язык часть,29-08-2023
1062,1 4 4,29-08-2023
1063,1 1 4,29-08-2023
1064,1 4 1,29-08-2023
1065,2 5 2,29-08-2023
1066,5 2 5,29-08-2023
1067,русский язык 2 класса,29-08-2023
1068,русский язык 2 класс,29-08-2023
1069,математика класс 2 часть,29-08-2023
1070,математика 2 часть 2 класс,29-08-2023
1071,математика 2 класс 2 часть,29-08-2023
1073,2 класс русский язык,29-08-2023
1074,русский язык часть 2,29-08-2023
1075,русский язык 2 часть,29-08-2023
1078,2 класс русский язык 2 часть,29-08-2023
1079,1 5 1,29-08-2023
1080,5 5,29-08-2023
1083,город в котором меня,29-08-2023
1084,4 класс 1 часть,29-08-2023
1087,язык 5 класс,29-08-2023
1088,математика 4 класса,29-08-2023
1089,язык 4 класс,29-08-2023
1090,4 4 5,29-08-2023
1091,2 1 4,29-08-2023
1092,1 4 2,29-08-2023
1093,язык 6 класс,29-08-2023
1094,5 и 5,29-08-2023
1095,русский английском,29-08-2023
1096,русский английский,29-08-2023
1097,английский русский,29-08-2023
1098,с английский русский,29-08-2023
1099,только для женщин,29-08-2023
1102,8 8,29-08-2023
1110,русский 5 класс,29-08-2023
1111,5 класс русский,29-08-2023
1113,игры для меня,29-08-2023
1116,год за годом,29-08-2023
1121,русский язык 5,29-08-2023
1123,я тебя люблю,29-08-2023
1124,5 класс русский язык,29-08-2023
1126,1 2 2 5,29-08-2023
1127,1 2 5,29-08-2023
1128,духи может быть,29-08-2023
1129,5 4 2,29-08-2023
1130,русские язык 6 класс,29-08-2023
1134,я всех люблю,29-08-2023
1135,я буду любить тебя,29-08-2023
1141,1 класс математика,29-08-2023
1142,математике 1 класс,29-08-2023
1143,математика 1 класса,29-08-2023
1144,весь гарри поттер,29-08-2023
1145,2 7 2 7,29-08-2023
1146,на день рождение,29-08-2023
1148,в детском саду,29-08-2023
1149,7 класс русский,29-08-2023
1150,1 4 5,29-08-2023
1151,5 1 4,29-08-2023
1152,русский язык 6 класс,29-08-2023
1155,2 класс английский,29-08-2023
1156,русский 7 класс,29-08-2023
1157,2 5 1 4 2,29-08-2023
1158,английский язык тетрадь,29-08-2023
1159,математика 1 часть,29-08-2023
1160,русский язык 7,29-08-2023
1161,английский 2 класс,29-08-2023
1163,русский язык 7 класс,29-08-2023
1164,7 класс русский язык,29-08-2023
1165,в одну сторону,29-08-2023
1167,английский язык 2,29-08-2023
1168,4 класс рабочая тетрадь,29-08-2023
1170,три в одну,29-08-2023
1171,искусство быть собой,29-08-2023
1172,английский 6 класс,29-08-2023
1174,один в лесу,29-08-2023
1175,русский язык 1,29-08-2023
1176,если любишь ты,29-08-2023
1180,на английском языке,29-08-2023
1181,7 класс геометрия,29-08-2023
1182,геометрия 7 класс,29-08-2023
1183,геометрии 7 класс,29-08-2023
1184,с утром добрым,29-08-2023
1185,с доброе утро,29-08-2023
1186,доброе утро с,29-08-2023
1187,с добрым утром,29-08-2023
1188,треугольник в треугольнике,29-08-2023
1190,английский 4 класс,29-08-2023
1192,английский язык 6,29-08-2023
1193,русский язык с,29-08-2023
1196,русский 1 класс,29-08-2023
1197,5 и 2,29-08-2023
1198,тетрадь по английски,29-08-2023
1200,15 15,29-08-2023
1201,a b a c,29-08-2023
1204,русский язык 8,29-08-2023
1206,6 4 2,29-08-2023
1207,красное красном,29-08-2023
1208,английский язык 4,29-08-2023
1209,4 5 6,29-08-2023
1210,у меня 2,29-08-2023
1212,английский язык 7,29-08-2023
1213,английский язык 4 класс,29-08-2023
1214,по математике 1 класс,29-08-2023
1217,русский язык тетрадь,29-08-2023
1220,16 16,29-08-2023
1221,английский язык 6 класс,29-08-2023
1222,машу и медведь,29-08-2023
1225,1 класс рабочая тетрадь,29-08-2023
1226,посмотри меня,29-08-2023
1227,1 6 4,29-08-2023
1228,русский рабочая тетрадь,29-08-2023
1229,ответы вопросы,29-08-2023
1230,друг друга,29-08-2023
1231,6 по английски,29-08-2023
1232,один по немецки,29-08-2023
1233,7 по английски,29-08-2023
1235,по геометрии 7 класс,29-08-2023
1239,5 по английски,29-08-2023
1242,рядом с тобой,29-08-2023
1243,50 50,29-08-2023
